Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dashboard,Chrome 141.0.7390.123,,,05-11-2025 01:18:41,05-11-2025 01:19:03,22.084s,PASSED
,,,,,,,
Test Cases/HRIS/dashboard/mydashboard,Chrome 141.0.7390.123,,,05-11-2025 01:18:41,05-11-2025 01:18:53,11.231s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 141.0.7390.123,,,05-11-2025 01:18:42,05-11-2025 01:18:44,2.551s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 141.0.7390.123,,,05-11-2025 01:18:44,05-11-2025 01:18:45,0.870s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 141.0.7390.123,,,05-11-2025 01:18:45,05-11-2025 01:18:46,0.329s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 141.0.7390.123,,,05-11-2025 01:18:46,05-11-2025 01:18:49,3.652s,PASSED
"click(findTestObject(""Object Repository/HRIS/dashboard_menu/Page_My Dashboard  TrilaSoft/a""))",Chrome 141.0.7390.123,,,05-11-2025 01:18:49,05-11-2025 01:18:52,2.731s,PASSED
"title = getText(findTestObject(""Object Repository/HRIS/Page_My Dashboard  TrilaSoft/h3""))",Chrome 141.0.7390.123,,,05-11-2025 01:18:52,05-11-2025 01:18:52,0.480s,PASSED
println(title),Chrome 141.0.7390.123,,,05-11-2025 01:18:52,05-11-2025 01:18:52,0.006s,PASSED
"assert title == ""Monika Nigam (TS/0128)""",Chrome 141.0.7390.123,,,05-11-2025 01:18:52,05-11-2025 01:18:52,0.002s,PASSED
closeBrowser(),Chrome 141.0.7390.123,,,05-11-2025 01:18:52,05-11-2025 01:18:53,0.246s,PASSED
,,,,,,,
Test Cases/HRIS/dashboard/mydocuments,Chrome 141.0.7390.123,,,05-11-2025 01:18:53,05-11-2025 01:19:03,10.250s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 141.0.7390.123,,,05-11-2025 01:18:53,05-11-2025 01:18:55,2.233s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 141.0.7390.123,,,05-11-2025 01:18:55,05-11-2025 01:18:56,0.840s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 141.0.7390.123,,,05-11-2025 01:18:56,05-11-2025 01:18:56,0.324s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 141.0.7390.123,,,05-11-2025 01:18:56,05-11-2025 01:19:01,4.372s,PASSED
"click(findTestObject(""Object Repository/HRIS/dashboard_menu/Page_My Dashboard  TrilaSoft/a_1""))",Chrome 141.0.7390.123,,,05-11-2025 01:19:01,05-11-2025 01:19:02,1.161s,PASSED
"title = getText(findTestObject(""Object Repository/HRIS/Page_Documents  TrilaSoft/h3""))",Chrome 141.0.7390.123,,,05-11-2025 01:19:02,05-11-2025 01:19:03,0.984s,PASSED
println(title),Chrome 141.0.7390.123,,,05-11-2025 01:19:03,05-11-2025 01:19:03,0.003s,PASSED
"assert title == ""Documents""",Chrome 141.0.7390.123,,,05-11-2025 01:19:03,05-11-2025 01:19:03,0.001s,PASSED
closeBrowser(),Chrome 141.0.7390.123,,,05-11-2025 01:19:03,05-11-2025 01:19:03,0.258s,PASSED
